county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty,Income,IncomePerCap,IncomePerCapErr
Abbeville,SC,6742.0,3712.0,10724.0,12433.0,8215.0,4101.0,805.0,17.0,24788.0,12044.0,12744.0,1.3,68.9,27.6,0.1,0.3,0.0,22.7,35254.0,19234.0,799.0
Acadia,LA,21159.0,5638.0,27386.0,28425.0,22596.0,5443.0,3182.0,102.0,62607.0,30433.0,32174.0,2.4,77.5,17.6,0.1,0.1,0.0,21.5,40492.0,21591.0,1002.0
Accomack,VA,8582.0,6737.0,15755.0,16938.0,9172.0,7578.0,1227.0,19.0,32840.0,16079.0,16761.0,8.8,60.3,28.3,0.3,0.7,0.0,19.8,42260.0,24266.0,1564.0
Ada,ID,93748.0,75676.0,195587.0,259389.0,130699.0,120539.0,17451.0,181.0,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,11.8,60151.0,31642.0,725.0
Adair,IA,2456.0,1127.0,3759.0,4183.0,2917.0,1197.0,222.0,1.0,7192.0,3552.0,3640.0,1.7,96.6,0.3,0.0,0.4,0.0,9.5,49477.0,28861.0,2055.0
Adair,KY,6637.0,1323.0,8231.0,8766.0,7275.0,1391.0,517.0,22.0,19304.0,9632.0,9672.0,1.8,93.4,3.6,0.1,0.1,0.0,21.5,36575.0,18408.0,1010.0
Adair,MO,6019.0,3495.0,10137.0,10337.0,6391.0,3705.0,578.0,0.0,25437.0,12013.0,13424.0,2.3,90.5,2.4,0.2,2.3,0.1,26.2,38750.0,21778.0,1702.0
Adair,OK,4753.0,1374.0,6468.0,7108.0,5585.0,1387.0,855.0,11.0,22136.0,10987.0,11149.0,6.4,40.8,0.3,41.7,0.6,0.2,30.8,33366.0,16576.0,820.0
Adams,CO,73807.0,86471.0,175125.0,234599.0,94874.0,132951.0,15538.0,263.0,487850.0,245840.0,242010.0,39.3,51.1,3.0,0.5,3.8,0.1,12.2,64087.0,27487.0,366.0
Adams,IA,1393.0,565.0,2082.0,2158.0,1528.0,590.0,87.0,1.0,3785.0,1870.0,1915.0,1.2,96.8,0.4,0.1,0.6,0.0,11.2,49745.0,27022.0,1948.0
Adams,ID,1556.0,415.0,2183.0,2586.0,1941.0,591.0,65.0,2.0,3946.0,2021.0,1925.0,3.3,92.7,0.3,1.2,0.0,0.2,13.8,42727.0,24315.0,2275.0
Adams,IL,22732.0,7633.0,31770.0,33434.0,24131.0,8569.0,2223.0,25.0,66787.0,32698.0,34089.0,1.5,92.0,3.9,0.2,0.8,0.1,13.1,48454.0,27256.0,873.0
Adams,IN,9642.0,2802.0,13039.0,14238.0,10685.0,3236.0,704.0,8.0,35018.0,17361.0,17657.0,4.4,93.7,0.9,0.0,0.4,0.0,18.9,48290.0,21534.0,1130.0
Adams,MS,5125.0,6921.0,12214.0,12268.0,5222.0,6914.0,1122.0,45.0,31583.0,15680.0,15903.0,8.4,36.9,52.8,0.2,0.6,0.0,34.2,30359.0,17721.0,1289.0
Adams,ND,904.0,216.0,1206.0,1269.0,981.0,258.0,91.0,0.0,2368.0,1168.0,1200.0,0.5,93.0,1.6,1.1,2.6,0.0,9.2,54700.0,35933.0,4260.0
Adams,NE,9205.0,3272.0,13172.0,14602.0,10085.0,4213.0,922.0,15.0,31564.0,15981.0,15583.0,9.4,86.9,0.6,0.1,1.3,0.0,12.4,51721.0,28085.0,1682.0
Adams,OH,8445.0,2293.0,11063.0,11905.0,9660.0,2130.0,270.0,6.0,27926.0,13960.0,13966.0,1.0,96.6,0.4,0.6,0.2,0.0,23.8,36320.0,20248.0,1164.0
Adams,PA,31249.0,14077.0,47138.0,56627.0,37563.0,18250.0,1184.0,31.0,101589.0,50055.0,51534.0,6.8,89.5,1.4,0.0,0.7,0.0,8.8,62661.0,29685.0,663.0
Adams,WA,2740.0,1118.0,4081.0,5109.0,3449.0,1562.0,935.0,11.0,19261.0,9750.0,9511.0,62.3,35.2,0.3,0.4,1.0,0.0,23.1,48131.0,18415.0,867.0
Adams,WI,5983.0,3780.0,10107.0,11818.0,7362.0,4329.0,587.0,5.0,20111.0,10770.0,9341.0,3.8,90.7,2.7,0.6,0.5,0.0,13.0,44003.0,24874.0,1297.0
Addison,VT,5297.0,11217.0,17592.0,870.0,379.0,445.0,124.0,2.0,36825.0,18214.0,18611.0,2.2,93.0,0.9,0.3,1.9,0.0,7.8,61875.0,31051.0,1033.0
Aiken,SC,45981.0,25426.0,74773.0,85185.0,51589.0,32275.0,5140.0,87.0,165707.0,80260.0,85447.0,5.5,66.7,24.5,0.2,1.0,0.0,16.7,47713.0,26222.0,719.0
Aitkin,MN,5516.0,3134.0,9185.0,10010.0,6258.0,3607.0,232.0,3.0,15841.0,8079.0,7762.0,1.3,94.1,0.5,2.2,0.4,0.0,12.1,45860.0,26883.0,743.0
Alachua,FL,46584.0,75370.0,127827.0,142784.0,50891.0,89527.0,10706.0,78.0,259865.0,125712.0,134153.0,9.3,62.0,19.8,0.3,5.9,0.1,23.3,45478.0,26431.0,711.0
Alamance,NC,38235.0,29268.0,69264.0,84710.0,45490.0,38186.0,5409.0,88.0,157844.0,75078.0,82766.0,12.3,65.0,18.9,0.3,1.5,0.0,17.6,44281.0,25157.0,738.0
Alameda,CA,64010.0,337524.0,424517.0,750128.0,131985.0,602851.0,23994.0,464.0,1629615.0,799649.0,829966.0,22.5,32.2,10.7,0.3,28.7,0.8,11.3,85743.0,41363.0,335.0
Alamosa,CO,3031.0,3168.0,6897.0,7519.0,3676.0,3624.0,360.0,9.0,16345.0,8085.0,8260.0,45.8,48.6,1.6,1.3,1.0,0.2,27.8,36315.0,19217.0,1603.0
