cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Unemployment
805.0,17.0,24788.0,12044.0,12744.0,1.3,68.9,27.6,0.1,0.3,0.0,9.4
3182.0,102.0,62607.0,30433.0,32174.0,2.4,77.5,17.6,0.1,0.1,0.0,8.9
1227.0,19.0,32840.0,16079.0,16761.0,8.8,60.3,28.3,0.3,0.7,0.0,5.4
17451.0,181.0,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,4.3
222.0,1.0,7192.0,3552.0,3640.0,1.7,96.6,0.3,0.0,0.4,0.0,3.0
517.0,22.0,19304.0,9632.0,9672.0,1.8,93.4,3.6,0.1,0.1,0.0,6.2
578.0,0.0,25437.0,12013.0,13424.0,2.3,90.5,2.4,0.2,2.3,0.1,5.5
855.0,11.0,22136.0,10987.0,11149.0,6.4,40.8,0.3,41.7,0.6,0.2,5.5
15538.0,263.0,487850.0,245840.0,242010.0,39.3,51.1,3.0,0.5,3.8,0.1,5.1
87.0,1.0,3785.0,1870.0,1915.0,1.2,96.8,0.4,0.1,0.6,0.0,4.2
65.0,2.0,3946.0,2021.0,1925.0,3.3,92.7,0.3,1.2,0.0,0.2,8.7
2223.0,25.0,66787.0,32698.0,34089.0,1.5,92.0,3.9,0.2,0.8,0.1,5.5
704.0,8.0,35018.0,17361.0,17657.0,4.4,93.7,0.9,0.0,0.4,0.0,5.2
1122.0,45.0,31583.0,15680.0,15903.0,8.4,36.9,52.8,0.2,0.6,0.0,10.9
91.0,0.0,2368.0,1168.0,1200.0,0.5,93.0,1.6,1.1,2.6,0.0,1.6
922.0,15.0,31564.0,15981.0,15583.0,9.4,86.9,0.6,0.1,1.3,0.0,4.2
270.0,6.0,27926.0,13960.0,13966.0,1.0,96.6,0.4,0.6,0.2,0.0,7.5
1184.0,31.0,101589.0,50055.0,51534.0,6.8,89.5,1.4,0.0,0.7,0.0,4.9
935.0,11.0,19261.0,9750.0,9511.0,62.3,35.2,0.3,0.4,1.0,0.0,5.9
587.0,5.0,20111.0,10770.0,9341.0,3.8,90.7,2.7,0.6,0.5,0.0,8.1
124.0,2.0,36825.0,18214.0,18611.0,2.2,93.0,0.9,0.3,1.9,0.0,4.4
5140.0,87.0,165707.0,80260.0,85447.0,5.5,66.7,24.5,0.2,1.0,0.0,9.0
232.0,3.0,15841.0,8079.0,7762.0,1.3,94.1,0.5,2.2,0.4,0.0,6.2
10706.0,78.0,259865.0,125712.0,134153.0,9.3,62.0,19.8,0.3,5.9,0.1,6.6
5409.0,88.0,157844.0,75078.0,82766.0,12.3,65.0,18.9,0.3,1.5,0.0,6.0
23994.0,464.0,1629615.0,799649.0,829966.0,22.5,32.2,10.7,0.3,28.7,0.8,6.0
360.0,9.0,16345.0,8085.0,8260.0,45.8,48.6,1.6,1.3,1.0,0.2,9.9
3750.0,140.0,308580.0,149287.0,159293.0,5.7,73.0,11.7,0.1,6.4,0.0,5.3
