county,state,cases,deaths,TotalPop
Abbeville,SC,805.0,17.0,24788.0
Acadia,LA,3182.0,102.0,62607.0
Accomack,VA,1227.0,19.0,32840.0
Ada,ID,17451.0,181.0,435117.0
Adair,IA,222.0,1.0,7192.0
Adair,KY,517.0,22.0,19304.0
Adair,MO,578.0,0.0,25437.0
Adair,OK,855.0,11.0,22136.0
Adams,CO,15538.0,263.0,487850.0
Adams,IA,87.0,1.0,3785.0
Adams,ID,65.0,2.0,3946.0
Adams,IL,2223.0,25.0,66787.0
Adams,IN,704.0,8.0,35018.0
Adams,MS,1122.0,45.0,31583.0
Adams,ND,91.0,0.0,2368.0
Adams,NE,922.0,15.0,31564.0
Adams,OH,270.0,6.0,27926.0
Adams,PA,1184.0,31.0,101589.0
Adams,WA,935.0,11.0,19261.0
Adams,WI,587.0,5.0,20111.0
Addison,VT,124.0,2.0,36825.0
Aiken,SC,5140.0,87.0,165707.0
Aitkin,MN,232.0,3.0,15841.0
Alachua,FL,10706.0,78.0,259865.0
Alamance,NC,5409.0,88.0,157844.0
Alameda,CA,23994.0,464.0,1629615.0
Alamosa,CO,360.0,9.0,16345.0
Albany,NY,3750.0,140.0,308580.0
Albany,WY,1562.0,4.0,37944.0
Albemarle,VA,1612.0,24.0,105105.0
Alcona,MI,55.0,3.0,10413.0
Alcorn,MS,1130.0,12.0,37242.0
Alexander,IL,154.0,2.0,6776.0
Alexander,NC,975.0,10.0,37159.0
Alfalfa,OK,132.0,0.0,5877.0
Alger,MI,121.0,1.0,9254.0
Allamakee,IA,431.0,9.0,13940.0
Allegan,MI,1503.0,7.0,114145.0
Allegany,MD,775.0,24.0,72591.0
Allegany,NY,348.0,8.0,47400.0
Alleghany,NC,316.0,1.0,10935.0
Alleghany,VA,154.0,4.0,15489.0
Allegheny,PA,15940.0,419.0,1229605.0
Allen,IN,9638.0,237.0,367747.0
Allen,KS,112.0,1.0,12752.0
Allen,KY,566.0,11.0,20628.0
Allen,OH,2580.0,80.0,104157.0
Allen,LA,1856.0,63.0,25667.0
Allendale,SC,424.0,7.0,9402.0
Alpena,MI,180.0,14.0,28730.0
Alpine,CA,8.0,0.0,1203.0
Amador,CA,347.0,16.0,37306.0
Amelia,VA,150.0,6.0,12802.0
Amherst,VA,626.0,6.0,31819.0
Amite,MS,436.0,13.0,12574.0
Anderson,KS,203.0,0.0,7840.0
Anderson,KY,280.0,1.0,22017.0
Anderson,SC,6051.0,209.0,194174.0
Anderson,TN,1869.0,16.0,75538.0
Anderson,TX,2979.0,39.0,57747.0
Andrew,MO,474.0,8.0,17358.0
Andrews,TX,667.0,10.0,17577.0
Angelina,TX,2317.0,93.0,87700.0
Anne Arundel,MD,12256.0,281.0,564600.0
Anoka,MN,9947.0,159.0,344861.0
Anson,NC,737.0,11.0,25531.0
Antelope,NE,182.0,1.0,6406.0
Antrim,MI,143.0,0.0,23133.0
Apache,AZ,4003.0,171.0,71602.0
Appanoose,IA,287.0,3.0,12547.0
Appling,GA,1179.0,38.0,18471.0
Appomattox,VA,308.0,6.0,15462.0
Aransas,TX,351.0,18.0,24832.0
Arapahoe,CO,13956.0,387.0,626612.0
Archer,TX,165.0,1.0,8793.0
Archuleta,CO,68.0,0.0,12592.0
Arenac,MI,111.0,3.0,15238.0
Arkansas,AR,726.0,17.0,18352.0
Arlington,VA,4764.0,154.0,229534.0
Armstrong,PA,786.0,21.0,66737.0
Armstrong,TX,27.0,1.0,1929.0
Arthur,NE,5.0,0.0,421.0
Ascension,LA,4299.0,100.0,119129.0
Ashe,NC,481.0,3.0,26833.0
Ashland,OH,511.0,9.0,53299.0
Ashland,WI,301.0,3.0,15779.0
Ashley,AR,573.0,11.0,20771.0
Ashtabula,OH,890.0,48.0,98622.0
Asotin,WA,294.0,8.0,22259.0
Assumption,LA,813.0,24.0,22881.0
Atascosa,TX,1287.0,37.0,48139.0
Atchison,KS,537.0,6.0,16466.0
Atchison,MO,86.0,1.0,5335.0
Athens,OH,1388.0,2.0,65563.0
Atkinson,GA,486.0,6.0,8313.0
Atlantic,NJ,5341.0,267.0,272926.0
Atoka,OK,467.0,1.0,13899.0
Attala,MS,819.0,27.0,18731.0
Audrain,MO,654.0,10.0,25763.0
Audubon,IA,192.0,1.0,5711.0
Auglaize,OH,1279.0,19.0,45778.0
Augusta,VA,718.0,9.0,74390.0
Aurora,SD,205.0,0.0,2739.0
Austin,TX,521.0,10.0,29292.0
Autauga,AL,2173.0,31.0,55036.0
Avery,NC,647.0,1.0,17535.0
Avoyelles,LA,1757.0,62.0,41095.0
Baca,CO,37.0,0.0,3581.0
Bacon,GA,640.0,16.0,11279.0
Bailey,TX,311.0,5.0,7098.0
Baker,FL,1805.0,24.0,27537.0
Baker,GA,92.0,6.0,3251.0
Baker,OR,144.0,3.0,15980.0
Baldwin,AL,6966.0,71.0,203360.0
Baldwin,GA,2337.0,65.0,45527.0
Ballard,KY,81.0,1.0,8152.0
Baltimore,MD,21194.0,675.0,828637.0
Bamberg,SC,699.0,34.0,14842.0
Bandera,TX,190.0,8.0,21316.0
Banks,GA,574.0,8.0,18363.0
Banner,NE,4.0,0.0,728.0
Bannock,ID,2732.0,14.0,84113.0
Baraga,MI,125.0,4.0,8580.0
Barber,KS,57.0,0.0,4905.0
Barbour,AL,1061.0,9.0,26201.0
Barbour,WV,187.0,1.0,16790.0
Barnes,ND,410.0,1.0,10971.0
Barnstable,MA,2051.0,185.0,213900.0
Barnwell,SC,887.0,25.0,21788.0
Barren,KY,1358.0,13.0,43418.0
Barron,WI,1320.0,7.0,45358.0
Barrow,GA,2672.0,51.0,75099.0
Barry,MI,803.0,6.0,59607.0
Barry,MO,912.0,9.0,35398.0
Bartholomew,IN,1597.0,59.0,81024.0
Barton,KS,803.0,7.0,27067.0
Barton,MO,453.0,4.0,11942.0
Bartow,GA,3714.0,96.0,102623.0
Bastrop,TX,2023.0,32.0,80306.0
Bates,MO,271.0,8.0,16405.0
Bath,KY,138.0,1.0,12189.0
Bath,VA,26.0,0.0,4458.0
Baxter,AR,776.0,11.0,41093.0
Bay,FL,6879.0,134.0,180117.0
Bay,MI,1602.0,65.0,105350.0
Bayfield,WI,280.0,2.0,15004.0
Baylor,TX,46.0,3.0,3602.0
Beadle,SD,1397.0,15.0,18163.0
Bear Lake,ID,77.0,1.0,5942.0
Beaufort,NC,1442.0,45.0,47316.0
Beaufort,SC,6214.0,93.0,179316.0
Beauregard,LA,1086.0,40.0,36598.0
Beaver,OK,99.0,1.0,5445.0
Beaver,PA,2343.0,140.0,168161.0
Beaver,UT,0.0,0.0,6414.0
Beaverhead,MT,284.0,1.0,9360.0
Becker,MN,696.0,4.0,33552.0
Beckham,OK,949.0,11.0,22971.0
Bedford,PA,462.0,7.0,48891.0
Bedford,TN,1830.0,23.0,46854.0
Bedford,VA,1308.0,18.0,77319.0
Bee,TX,1868.0,39.0,32729.0
Bell,KY,825.0,17.0,27469.0
Bell,TX,6560.0,100.0,336506.0
Belmont,OH,885.0,27.0,68889.0
Beltrami,MN,1016.0,11.0,45847.0
Ben Hill,GA,887.0,34.0,17272.0
Benewah,ID,188.0,3.0,9050.0
Bennett,SD,220.0,5.0,3440.0
Bennington,VT,142.0,1.0,36054.0
Benson,ND,557.0,10.0,6875.0
Bent,CO,18.0,0.0,5806.0
Benton,AR,8619.0,125.0,251823.0
Benton,IA,733.0,4.0,25646.0
Benton,IN,123.0,1.0,8685.0
Benton,MN,1134.0,14.0,39360.0
Benton,MO,504.0,7.0,18918.0
Benton,MS,376.0,11.0,8306.0
Benton,OR,465.0,6.0,88249.0
Benton,TN,441.0,10.0,16154.0
Benton,WA,5385.0,135.0,190529.0
Benzie,MI,145.0,2.0,17462.0
Bergen,NJ,25526.0,2063.0,937920.0
Berkeley,SC,6232.0,95.0,204632.0
Berkeley,WV,1692.0,18.0,111610.0
Berks,PA,9648.0,425.0,415500.0
Bernalillo,NM,11859.0,212.0,674855.0
Berrien,GA,503.0,14.0,19014.0
Berrien,MI,2985.0,86.0,154948.0
Bertie,NC,737.0,20.0,19913.0
Bexar,TX,66064.0,1414.0,1892004.0
Bibb,AL,878.0,15.0,22580.0
Bibb,GA,6707.0,200.0,153923.0
Bienville,LA,623.0,35.0,13806.0
Big Horn,MT,1400.0,38.0,13290.0
Big Horn,WY,263.0,7.0,11920.0
Big Stone,MN,177.0,1.0,5039.0
Billings,ND,34.0,0.0,983.0
Bingham,ID,1664.0,23.0,45369.0
Black Hawk,IA,6448.0,103.0,132960.0
Blackford,IN,287.0,6.0,12214.0
Bladen,NC,1105.0,19.0,34130.0
Blaine,ID,916.0,7.0,21583.0
Blaine,MT,349.0,7.0,6646.0
Blaine,NE,4.0,0.0,502.0
Blaine,OK,225.0,1.0,9680.0
Blair,PA,1456.0,32.0,124736.0
Blanco,TX,163.0,6.0,11089.0
Bland,VA,79.0,5.0,6524.0
Bleckley,GA,515.0,27.0,12779.0
Bledsoe,TN,1047.0,4.0,14413.0
Blount,AL,2095.0,25.0,57667.0
Blount,TN,3602.0,41.0,127135.0
Blue Earth,MN,2207.0,7.0,65767.0
Boise,ID,87.0,2.0,6968.0
Bolivar,MS,2072.0,79.0,33121.0
Bollinger,MO,553.0,3.0,12347.0
Bon Homme,SD,1016.0,1.0,6972.0
Bond,IL,544.0,9.0,17034.0
Bonner,ID,527.0,1.0,41855.0
Bonneville,ID,4764.0,38.0,110404.0
Boone,AR,1099.0,36.0,37212.0
Boone,IA,797.0,9.0,26381.0
Boone,IL,2171.0,26.0,53638.0
Boone,IN,1421.0,51.0,63013.0
Boone,KY,2338.0,25.0,127682.0
Boone,MO,6443.0,15.0,174589.0
Boone,NE,170.0,0.0,5357.0
Boone,WV,408.0,3.0,23236.0
Borden,TX,2.0,0.0,602.0
Bosque,TX,418.0,11.0,17955.0
Bossier,LA,4381.0,122.0,125698.0
Botetourt,VA,479.0,12.0,33149.0
Bottineau,ND,345.0,17.0,6651.0
Boulder,CO,5988.0,88.0,316782.0
Boundary,ID,203.0,1.0,11323.0
Bourbon,KS,306.0,3.0,14757.0
Bourbon,KY,335.0,1.0,20017.0
Bowie,TX,2040.0,77.0,93635.0
Bowman,ND,148.0,2.0,3226.0
Box Butte,NE,280.0,1.0,11200.0
Box Elder,UT,0.0,0.0,52182.0
Boyd,KY,743.0,22.0,48486.0
Boyd,NE,78.0,0.0,2049.0
Boyle,KY,491.0,0.0,29773.0
Bracken,KY,75.0,1.0,8330.0
Bradford,FL,1241.0,15.0,26775.0
Bradford,PA,895.0,15.0,61546.0
Bradley,AR,373.0,8.0,10994.0
Bradley,TN,3754.0,24.0,103666.0
Branch,MI,973.0,11.0,43543.0
Brantley,GA,473.0,13.0,18411.0
Braxton,WV,73.0,0.0,14345.0
