county,state,TotalPop,Hispanic,White,Black,Native,Asian,Pacific
Abbeville,SC,24788.0,1.3,68.9,27.6,0.1,0.3,0.0
Acadia,LA,62607.0,2.4,77.5,17.6,0.1,0.1,0.0
Accomack,VA,32840.0,8.8,60.3,28.3,0.3,0.7,0.0
Ada,ID,435117.0,7.9,85.2,1.2,0.4,2.6,0.1
Adair,IA,7192.0,1.7,96.6,0.3,0.0,0.4,0.0
Adair,KY,19304.0,1.8,93.4,3.6,0.1,0.1,0.0
Adair,MO,25437.0,2.3,90.5,2.4,0.2,2.3,0.1
Adair,OK,22136.0,6.4,40.8,0.3,41.7,0.6,0.2
Adams,CO,487850.0,39.3,51.1,3.0,0.5,3.8,0.1
Adams,IA,3785.0,1.2,96.8,0.4,0.1,0.6,0.0
Adams,ID,3946.0,3.3,92.7,0.3,1.2,0.0,0.2
Adams,IL,66787.0,1.5,92.0,3.9,0.2,0.8,0.1
Adams,IN,35018.0,4.4,93.7,0.9,0.0,0.4,0.0
Adams,MS,31583.0,8.4,36.9,52.8,0.2,0.6,0.0
Adams,ND,2368.0,0.5,93.0,1.6,1.1,2.6,0.0
Adams,NE,31564.0,9.4,86.9,0.6,0.1,1.3,0.0
Adams,OH,27926.0,1.0,96.6,0.4,0.6,0.2,0.0
Adams,PA,101589.0,6.8,89.5,1.4,0.0,0.7,0.0
Adams,WA,19261.0,62.3,35.2,0.3,0.4,1.0,0.0
Adams,WI,20111.0,3.8,90.7,2.7,0.6,0.5,0.0
Addison,VT,36825.0,2.2,93.0,0.9,0.3,1.9,0.0
Aiken,SC,165707.0,5.5,66.7,24.5,0.2,1.0,0.0
Aitkin,MN,15841.0,1.3,94.1,0.5,2.2,0.4,0.0
Alachua,FL,259865.0,9.3,62.0,19.8,0.3,5.9,0.1
Alamance,NC,157844.0,12.3,65.0,18.9,0.3,1.5,0.0
Alameda,CA,1629615.0,22.5,32.2,10.7,0.3,28.7,0.8
Alamosa,CO,16345.0,45.8,48.6,1.6,1.3,1.0,0.2
Albany,NY,308580.0,5.7,73.0,11.7,0.1,6.4,0.0
Albany,WY,37944.0,9.3,82.9,1.3,0.7,2.9,0.0
Albemarle,VA,105105.0,5.7,77.2,9.5,0.2,5.0,0.0
Alcona,MI,10413.0,1.4,96.0,0.3,0.5,0.4,0.0
Alcorn,MS,37242.0,3.0,83.2,11.7,0.0,0.3,0.0
Alexander,IL,6776.0,1.0,61.8,34.6,0.6,0.2,0.0
Alexander,NC,37159.0,4.6,87.0,5.9,0.2,1.2,0.1
Alfalfa,OK,5877.0,5.0,76.2,2.4,1.9,0.0,0.0
Alger,MI,9254.0,1.4,84.2,7.2,3.3,0.1,0.0
Allamakee,IA,13940.0,6.1,91.2,0.9,0.1,0.3,0.0
Allegan,MI,114145.0,7.2,88.7,1.3,0.5,0.6,0.0
Allegany,MD,72591.0,1.7,87.3,8.0,0.2,0.8,0.0
Allegany,NY,47400.0,1.5,94.5,1.4,0.3,1.2,0.0
Alleghany,NC,10935.0,9.4,87.3,2.4,0.1,0.2,0.0
Alleghany,VA,15489.0,1.4,91.9,5.5,0.0,0.1,0.1
Allegheny,PA,1229605.0,2.0,79.1,12.7,0.1,3.5,0.0
Allen,IN,367747.0,7.2,74.6,11.3,0.2,3.5,0.0
Allen,KS,12752.0,3.3,90.7,1.5,0.1,0.6,0.1
Allen,KY,20628.0,1.9,95.4,1.9,0.0,0.2,0.0
Allen,OH,104157.0,2.9,81.2,11.7,0.2,0.7,0.0
Allen,LA,25667.0,4.9,71.1,19.0,1.8,0.7,0.0
Allendale,SC,9402.0,3.1,22.5,73.5,0.5,0.0,0.0
Alpena,MI,28730.0,1.3,96.0,0.5,0.4,0.4,0.1
Alpine,CA,1203.0,9.7,64.6,1.5,20.6,0.7,0.0
Amador,CA,37306.0,13.2,79.3,2.0,0.7,1.5,0.2
Amelia,VA,12802.0,1.1,72.4,23.7,0.3,0.1,0.0
Amherst,VA,31819.0,2.3,75.5,17.6,0.2,0.6,0.0
Amite,MS,12574.0,0.2,57.3,42.0,0.0,0.3,0.0
Anderson,KS,7840.0,0.7,95.2,0.2,3.5,0.0,0.0
Anderson,KY,22017.0,1.7,94.2,2.4,0.0,0.7,0.0
Anderson,SC,194174.0,3.5,77.6,16.0,0.2,0.9,0.0
Anderson,TN,75538.0,2.7,89.6,3.4,0.1,1.4,0.1
Anderson,TX,57747.0,17.3,59.7,20.9,0.3,0.5,0.0
Andrew,MO,17358.0,2.3,94.9,1.3,0.1,0.1,0.0
Andrews,TX,17577.0,55.4,41.1,1.5,0.1,0.2,0.1
Angelina,TX,87700.0,21.5,61.2,14.7,0.1,1.1,0.0
Anne Arundel,MD,564600.0,7.3,69.6,15.9,0.1,3.6,0.1
Anoka,MN,344861.0,4.2,82.7,5.5,0.5,4.2,0.0
Anson,NC,25531.0,3.8,44.9,48.6,0.3,1.2,0.0
Antelope,NE,6406.0,3.2,95.3,0.2,0.3,0.4,0.0
Antrim,MI,23133.0,2.1,95.0,0.3,0.8,0.3,0.0
Apache,AZ,71602.0,6.1,18.5,0.5,72.8,0.3,0.1
Appanoose,IA,12547.0,1.8,95.7,0.6,0.1,0.5,0.0
Appling,GA,18471.0,9.7,69.6,17.9,0.6,0.8,0.0
Appomattox,VA,15462.0,1.3,76.7,20.1,0.1,0.2,0.0
Aransas,TX,24832.0,27.0,67.7,1.6,0.0,2.0,0.0
Arapahoe,CO,626612.0,18.9,61.3,10.2,0.3,5.6,0.2
Archer,TX,8793.0,8.3,88.6,0.8,0.3,0.4,0.0
Archuleta,CO,12592.0,18.3,76.7,1.1,2.1,0.7,0.0
Arenac,MI,15238.0,2.0,94.9,0.5,1.3,0.4,0.0
