county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16
Abbeville,SC,6742.0,3712.0,10724.0
Acadia,LA,21159.0,5638.0,27386.0
Accomack,VA,8582.0,6737.0,15755.0
Ada,ID,93748.0,75676.0,195587.0
Adair,IA,2456.0,1127.0,3759.0
Adair,KY,6637.0,1323.0,8231.0
Adair,MO,6019.0,3495.0,10137.0
Adair,OK,4753.0,1374.0,6468.0
Adams,CO,73807.0,86471.0,175125.0
Adams,IA,1393.0,565.0,2082.0
Adams,ID,1556.0,415.0,2183.0
Adams,IL,22732.0,7633.0,31770.0
Adams,IN,9642.0,2802.0,13039.0
Adams,MS,5125.0,6921.0,12214.0
Adams,ND,904.0,216.0,1206.0
Adams,NE,9205.0,3272.0,13172.0
Adams,OH,8445.0,2293.0,11063.0
Adams,PA,31249.0,14077.0,47138.0
Adams,WA,2740.0,1118.0,4081.0
Adams,WI,5983.0,3780.0,10107.0
Addison,VT,5297.0,11217.0,17592.0
Aiken,SC,45981.0,25426.0,74773.0
Aitkin,MN,5516.0,3134.0,9185.0
Alachua,FL,46584.0,75370.0,127827.0
Alamance,NC,38235.0,29268.0,69264.0
Alameda,CA,64010.0,337524.0,424517.0
Alamosa,CO,3031.0,3168.0,6897.0
Albany,NY,44227.0,74775.0,125644.0
Albany,WY,7601.0,6888.0,16420.0
Albemarle,VA,19232.0,33297.0,56134.0
Alcona,MI,4201.0,1732.0,6179.0
Alcorn,MS,11817.0,2684.0,14781.0
Alexander,IL,1496.0,1262.0,2820.0
Alexander,NC,13826.0,3750.0,18011.0
Alfalfa,OK,1931.0,216.0,2256.0
Alger,MI,2585.0,1663.0,4513.0
Allamakee,IA,4072.0,2409.0,6837.0
Allegan,MI,33812.0,17932.0,55153.0
Allegany,MD,20025.0,6665.0,27804.0
Allegany,NY,11712.0,4473.0,17111.0
Alleghany,NC,3789.0,1300.0,5214.0
Alleghany,VA,4873.0,2165.0,7306.0
Allegheny,PA,257488.0,363017.0,643173.0
Allen,IN,83801.0,55222.0,145787.0
Allen,KS,3575.0,1398.0,5314.0
Allen,KY,6466.0,1349.0,8091.0
Allen,OH,29858.0,12815.0,44636.0
Allen,LA,6867.0,2106.0,9245.0
Allendale,SC,788.0,2722.0,3578.0
Alpena,MI,9090.0,4877.0,14688.0
Alpine,CA,211.0,318.0,575.0
Amador,CA,6069.0,3420.0,10049.0
Amelia,VA,4704.0,2150.0,7035.0
Amherst,VA,9643.0,4986.0,15164.0
Amite,MS,4282.0,2688.0,7033.0
Anderson,KS,2386.0,665.0,3277.0
Anderson,KY,8242.0,2634.0,11420.0
Anderson,SC,56109.0,21040.0,80296.0
Anderson,TN,19201.0,9010.0,29723.0
Anderson,TX,13165.0,3358.0,16887.0
Andrew,MO,6665.0,2045.0,9140.0
Andrews,TX,3925.0,836.0,4926.0
Angelina,TX,21666.0,7538.0,29870.0
Anne Arundel,MD,114509.0,116074.0,242939.0
Anoka,MN,93341.0,75499.0,184084.0
Anson,NC,4480.0,5785.0,10394.0
Antelope,NE,2717.0,381.0,3220.0
Antrim,MI,8469.0,4448.0,13572.0
Apache,AZ,5315.0,12196.0,18659.0
Appanoose,IA,4031.0,1813.0,6096.0
Appling,GA,5492.0,1434.0,7003.0
Appomattox,VA,5714.0,2023.0,7954.0
Aransas,TX,7730.0,2458.0,10467.0
Arapahoe,CO,109638.0,148365.0,281658.0
Archer,TX,3785.0,394.0,4269.0
Archuleta,CO,4234.0,2489.0,7290.0
Arenac,MI,4704.0,2238.0,7457.0
Arkansas,AR,3825.0,1939.0,6211.0
Arlington,VA,20155.0,91879.0,119344.0
Armstrong,PA,22676.0,6849.0,30446.0
Armstrong,TX,924.0,70.0,1017.0
Arthur,NE,237.0,16.0,263.0
Ascension,LA,36135.0,16471.0,54663.0
Ashe,NC,9353.0,3476.0,13160.0
Ashland,OH,17169.0,5659.0,24074.0
Ashland,WI,3428.0,4136.0,7926.0
Ashley,AR,5338.0,2408.0,8083.0
Ashtabula,OH,22755.0,15191.0,39809.0
Asotin,WA,5712.0,3118.0,9684.0
Assumption,LA,6714.0,3931.0,10904.0
Atascosa,TX,8598.0,4635.0,13605.0
Atchison,KS,3977.0,1946.0,6393.0
Atchison,MO,2059.0,541.0,2723.0
Athens,OH,10816.0,15552.0,27941.0
Atkinson,GA,1873.0,696.0,2604.0
Atlantic,NJ,47882.0,54472.0,105738.0
Atoka,OK,4068.0,795.0,5002.0
Attala,MS,4288.0,2847.0,7242.0
