county,state,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden
Abbeville,SC,12433.0,8215.0,4101.0
Acadia,LA,28425.0,22596.0,5443.0
Accomack,VA,16938.0,9172.0,7578.0
Ada,ID,259389.0,130699.0,120539.0
Adair,IA,4183.0,2917.0,1197.0
Adair,KY,8766.0,7275.0,1391.0
Adair,MO,10337.0,6391.0,3705.0
Adair,OK,7108.0,5585.0,1387.0
Adams,CO,234599.0,94874.0,132951.0
Adams,IA,2158.0,1528.0,590.0
Adams,ID,2586.0,1941.0,591.0
Adams,IL,33434.0,24131.0,8569.0
Adams,IN,14238.0,10685.0,3236.0
Adams,MS,12268.0,5222.0,6914.0
Adams,ND,1269.0,981.0,258.0
Adams,NE,14602.0,10085.0,4213.0
Adams,OH,11905.0,9660.0,2130.0
Adams,PA,56627.0,37563.0,18250.0
Adams,WA,5109.0,3449.0,1562.0
Adams,WI,11818.0,7362.0,4329.0
Addison,VT,870.0,379.0,445.0
Aiken,SC,85185.0,51589.0,32275.0
Aitkin,MN,10010.0,6258.0,3607.0
Alachua,FL,142784.0,50891.0,89527.0
Alamance,NC,84710.0,45490.0,38186.0
Alameda,CA,750128.0,131985.0,602851.0
Alamosa,CO,7519.0,3676.0,3624.0
Albany,NY,121529.0,45570.0,73189.0
Albany,WY,18617.0,8579.0,9092.0
Albemarle,VA,64284.0,20804.0,42466.0
Alcona,MI,7063.0,4848.0,2142.0
Alcorn,MS,15639.0,12689.0,2741.0
Alexander,IL,5631.0,3056.0,2522.0
Alexander,NC,20120.0,15806.0,4113.0
Alfalfa,OK,2262.0,1978.0,232.0
Alger,MI,5135.0,3014.0,2053.0
Allamakee,IA,7459.0,4733.0,2575.0
Allegan,MI,67182.0,41381.0,24447.0
Allegany,MD,29130.0,20213.0,8464.0
Allegany,NY,17271.0,12670.0,4188.0
Alleghany,NC,6040.0,4501.0,1480.0
Alleghany,VA,8191.0,5859.0,2243.0
Allegheny,PA,707837.0,275955.0,421004.0
Allen,IN,168964.0,91885.0,72825.0
Allen,KS,5842.0,4155.0,1559.0
Allen,KY,9363.0,7586.0,1642.0
Allen,OH,46362.0,32052.0,13611.0
Allen,LA,9810.0,7574.0,2108.0
Allendale,SC,3593.0,835.0,2718.0
Alpena,MI,16966.0,10686.0,6000.0
Alpine,CA,736.0,238.0,473.0
Amador,CA,22282.0,13571.0,8147.0
Amelia,VA,7881.0,5390.0,2411.0
Amherst,VA,17719.0,11020.0,5673.0
Amite,MS,5974.0,3781.0,2114.0
Anderson,KS,3720.0,2874.0,765.0
Anderson,KY,13261.0,9651.0,3339.0
Anderson,SC,96093.0,67565.0,27169.0
Anderson,TN,35527.0,23163.0,11733.0
Anderson,TX,19155.0,15062.0,3934.0
Andrew,MO,9775.0,7256.0,2351.0
Andrews,TX,5856.0,4937.0,849.0
Angelina,TX,34628.0,25070.0,9136.0
Anne Arundel,MD,293582.0,123337.0,164255.0
Anoka,MN,210491.0,104903.0,100892.0
Anson,NC,11183.0,5321.0,5788.0
Antelope,NE,3583.0,3093.0,452.0
Antrim,MI,17347.0,9783.0,7289.0
Apache,AZ,34397.0,11240.0,22730.0
Appanoose,IA,6506.0,4512.0,1891.0
Appling,GA,8341.0,6526.0,1779.0
Appomattox,VA,9239.0,6702.0,2418.0
Aransas,TX,12241.0,9210.0,2896.0
Arapahoe,CO,346740.0,126124.0,211498.0
Archer,TX,4796.0,4300.0,446.0
Archuleta,CO,9030.0,5126.0,3693.0
Arenac,MI,8830.0,5928.0,2773.0
Arkansas,AR,6284.0,4301.0,1813.0
Arlington,VA,129498.0,22318.0,105344.0
Armstrong,PA,36111.0,27284.0,8406.0
Armstrong,TX,1112.0,1035.0,75.0
Arthur,NE,284.0,260.0,21.0
Ascension,LA,62325.0,40687.0,20399.0
Ashe,NC,15691.0,11368.0,4149.0
Ashland,OH,25883.0,19002.0,6448.0
Ashland,WI,8757.0,3841.0,4801.0
Ashley,AR,7926.0,5548.0,2125.0
Ashtabula,OH,43253.0,26225.0,16207.0
Asotin,WA,11795.0,7259.0,4233.0
Assumption,LA,11235.0,7271.0,3833.0
Atascosa,TX,18085.0,12020.0,5865.0
Atchison,KS,7312.0,4826.0,2314.0
Atchison,MO,2814.0,2199.0,564.0
Athens,OH,24876.0,10386.0,14047.0
Atkinson,GA,3155.0,2300.0,825.0
Atlantic,NJ,131980.0,60957.0,68978.0
Atoka,OK,5389.0,4557.0,765.0
Attala,MS,8832.0,5178.0,3542.0
Audrain,MO,10660.0,7727.0,2703.0
Audubon,IA,3416.0,2295.0,1071.0
Auglaize,OH,25396.0,20451.0,4583.0
Augusta,VA,42162.0,30714.0,10840.0
Aurora,SD,1405.0,1052.0,317.0
Austin,TX,14368.0,11282.0,2931.0
Autauga,AL,27639.0,19764.0,7450.0
Avery,NC,9339.0,7092.0,2171.0
Avoyelles,LA,17292.0,12028.0,4979.0
Baca,CO,2193.0,1840.0,313.0
Bacon,GA,4668.0,4018.0,625.0
Bailey,TX,1854.0,1430.0,407.0
Baker,FL,14082.0,11911.0,2037.0
Baker,GA,1555.0,897.0,652.0
Baker,OR,9878.0,7316.0,2332.0
Baldwin,AL,108945.0,83055.0,24344.0
Baldwin,GA,18251.0,8903.0,9140.0
Ballard,KY,4225.0,3356.0,825.0
Baltimore,MD,346035.0,130085.0,210155.0
Bamberg,SC,6482.0,2417.0,4010.0
Bandera,TX,12703.0,10050.0,2503.0
Banks,GA,8801.0,7795.0,932.0
Banner,NE,410.0,362.0,43.0
Bannock,ID,39553.0,23331.0,14682.0
Baraga,MI,4036.0,2512.0,1478.0
Barber,KS,2313.0,1992.0,284.0
Barbour,AL,10457.0,5605.0,4772.0
Barbour,WV,6677.0,5116.0,1457.0
Barnes,ND,5507.0,3532.0,1800.0
Barnstable,MA,27051.0,10824.0,15685.0
Barnwell,SC,10321.0,5492.0,4720.0
Barren,KY,20079.0,14646.0,5115.0
Barron,WI,25346.0,15803.0,9194.0
Barrow,GA,38017.0,26804.0,10453.0
Barry,MI,35914.0,23473.0,11804.0
Barry,MO,15598.0,12425.0,2948.0
Bartholomew,IN,36299.0,22409.0,12934.0
Barton,KS,10961.0,8480.0,2302.0
Barton,MO,6077.0,5168.0,844.0
Bartow,GA,50465.0,37673.0,12091.0
Bastrop,TX,36709.0,20486.0,15452.0
Bates,MO,8435.0,6595.0,1672.0
Bath,KY,5627.0,3986.0,1573.0
Bath,VA,2513.0,1824.0,674.0
Baxter,AR,20968.0,15810.0,4625.0
Bay,FL,93131.0,66063.0,25572.0
Bay,MI,60985.0,33347.0,26653.0
Bayfield,WI,10880.0,4617.0,6147.0
Baylor,TX,1680.0,1478.0,179.0
Beadle,SD,7081.0,4808.0,2107.0
Bear Lake,ID,3215.0,2814.0,350.0
Beaufort,NC,26128.0,16352.0,9575.0
Beaufort,SC,97835.0,53194.0,43419.0
Beauregard,LA,16357.0,13575.0,2542.0
Beaver,OK,2178.0,1968.0,190.0
Beaver,PA,93083.0,54108.0,37747.0
Beaver,UT,3076.0,2673.0,356.0
Beaverhead,MT,5661.0,3923.0,1608.0
Becker,MN,19418.0,12452.0,6592.0
Beckham,OK,7948.0,6767.0,1048.0
Bedford,PA,27574.0,23025.0,4367.0
Bedford,TN,19039.0,14317.0,4443.0
Bedford,VA,48484.0,35600.0,12176.0
Bee,TX,9405.0,5999.0,3280.0
Bell,KY,10044.0,8140.0,1789.0
Bell,TX,125867.0,67113.0,56032.0
Belmont,OH,32534.0,23092.0,9007.0
Beltrami,MN,24131.0,12188.0,11426.0
Ben Hill,GA,6560.0,4110.0,2392.0
Benewah,ID,4972.0,3878.0,977.0
Bennett,SD,1183.0,694.0,466.0
Bennington,VT,7096.0,2473.0,4369.0
Benson,ND,1961.0,1094.0,822.0
Bent,CO,2229.0,1468.0,723.0
Benton,AR,119166.0,73605.0,41894.0
Benton,IA,14627.0,9179.0,5156.0
Benton,IN,4115.0,3007.0,1009.0
Benton,MN,22219.0,14382.0,7281.0
Benton,MO,10478.0,8106.0,2179.0
Benton,MS,4257.0,2553.0,1661.0
Benton,OR,52719.0,14853.0,35780.0
Benton,TN,7250.0,5661.0,1526.0
Benton,WA,100997.0,59746.0,38081.0
Benzie,MI,12259.0,6600.0,5480.0
Bergen,NJ,448647.0,182831.0,259358.0
Berkeley,SC,104458.0,57397.0,45223.0
Berkeley,WV,49146.0,32062.0,16075.0
Berks,PA,198260.0,105941.0,89530.0
Bernalillo,NM,315332.0,115674.0,192042.0
Berrien,GA,7743.0,6419.0,1269.0
Berrien,MI,82378.0,43518.0,37438.0
Bertie,NC,9676.0,3778.0,5846.0
Bexar,TX,756021.0,303871.0,440823.0
Bibb,AL,9573.0,7508.0,1982.0
Bibb,GA,70802.0,26585.0,43468.0
Bienville,LA,7050.0,3891.0,3067.0
Big Horn,MT,4669.0,2185.0,2401.0
Big Horn,WY,5752.0,4806.0,788.0
Big Stone,MN,2972.0,1862.0,1052.0
Billings,ND,635.0,541.0,72.0
Bingham,ID,20094.0,15295.0,4124.0
Black Hawk,IA,66549.0,29623.0,35621.0
Blackford,IN,5354.0,3838.0,1376.0
Bladen,NC,17009.0,9623.0,7281.0
Blaine,ID,13288.0,4031.0,8919.0
Blaine,MT,3121.0,1469.0,1589.0
Blaine,NE,317.0,280.0,35.0
Blaine,OK,3901.0,3136.0,688.0
Blair,PA,62784.0,44714.0,17425.0
Blanco,TX,7419.0,5429.0,1905.0
Bland,VA,3475.0,2903.0,532.0
Bleckley,GA,5706.0,4328.0,1311.0
Bledsoe,TN,5758.0,4725.0,971.0
Blount,AL,27459.0,24595.0,2627.0
Blount,TN,66306.0,47195.0,17834.0
Blue Earth,MN,35969.0,16731.0,18330.0
Boise,ID,4840.0,3495.0,1214.0
Bolivar,MS,11631.0,4260.0,7203.0
Bollinger,MO,5981.0,5162.0,749.0
Bon Homme,SD,3001.0,2235.0,721.0
Bond,IL,8109.0,5612.0,2275.0
Bonner,ID,27352.0,18369.0,8310.0
Bonneville,ID,53995.0,37805.0,14254.0
Boone,AR,17103.0,13644.0,3061.0
Boone,IA,15306.0,8695.0,6303.0
Boone,IL,24672.0,13762.0,10372.0
Boone,IN,38500.0,22351.0,15244.0
Boone,KY,66953.0,44811.0,20897.0
Boone,MO,91004.0,38596.0,49999.0
Boone,NE,3217.0,2653.0,499.0
Boone,WV,9012.0,6816.0,2041.0
Borden,TX,412.0,395.0,16.0
Bosque,TX,9094.0,7446.0,1552.0
Bossier,LA,54655.0,38074.0,15662.0
Botetourt,VA,21071.0,15102.0,5705.0
Bottineau,ND,3471.0,2575.0,821.0
Boulder,CO,193656.0,39289.0,150247.0
Boundary,ID,6313.0,4937.0,1220.0
Bourbon,KS,6550.0,4910.0,1505.0
Bourbon,KY,9643.0,6190.0,3296.0
Bowie,TX,38194.0,27053.0,10692.0
Bowman,ND,1657.0,1395.0,228.0
Box Butte,NE,5181.0,4002.0,1051.0
Box Elder,UT,26312.0,20984.0,4362.0
Boyd,KY,21741.0,14295.0,7083.0
Boyd,NE,1153.0,1010.0,135.0
Boyle,KY,14467.0,8872.0,5298.0
Bracken,KY,4244.0,3397.0,799.0
Bradford,FL,13650.0,10334.0,3160.0
Bradford,PA,30143.0,21586.0,8044.0
Bradley,AR,3644.0,2332.0,1208.0
Bradley,TN,45968.0,35194.0,9849.0
Branch,MI,20541.0,14067.0,6161.0
Brantley,GA,7746.0,6991.0,699.0
Braxton,WV,5664.0,4120.0,1457.0
Brazoria,TX,154037.0,89939.0,61780.0
Brazos,TX,84753.0,47456.0,35242.0
Breathitt,KY,5667.0,4265.0,1301.0
Breckinridge,KY,10197.0,7701.0,2350.0
Bremer,IA,14534.0,8287.0,5954.0
Brevard,FL,360666.0,207857.0,148479.0
Brewster,TX,4805.0,2451.0,2251.0
Briscoe,TX,724.0,639.0,77.0
Bristol,RI,11557.0,4589.0,6779.0
Broadwater,MT,4056.0,3139.0,830.0
Bronx,NY,329638.0,55849.0,271835.0
Brooke,WV,10656.0,7545.0,2947.0
Brookings,SD,14567.0,8000.0,6110.0
Brooks,GA,7100.0,4260.0,2790.0
Brooks,TX,2484.0,998.0,1470.0
Broome,NY,72376.0,38351.0,32275.0
Broomfield,CO,46297.0,16188.0,28871.0
Broward,FL,959418.0,333346.0,618597.0
Brown,IL,2523.0,1930.0,485.0
Brown,IN,8886.0,5725.0,2996.0
Brown,KS,4396.0,3206.0,1088.0
Brown,MN,14630.0,9550.0,4750.0
Brown,NE,1676.0,1468.0,190.0
Brown,OH,20586.0,16032.0,4326.0
Brown,SD,17547.0,10580.0,6538.0
Brown,TX,15940.0,13681.0,2103.0
Brown,WI,144011.0,75865.0,65509.0
Brule,SD,2490.0,1750.0,673.0
Brunswick,NC,89183.0,55373.0,32984.0
Brunswick,VA,7948.0,3357.0,4552.0
Bryan,GA,21340.0,14244.0,6739.0
Bryan,OK,15976.0,12344.0,3323.0
Buchanan,IA,10764.0,6420.0,4169.0
Buchanan,MO,36713.0,22450.0,13445.0
Buchanan,VA,9942.0,8311.0,1587.0
Buckingham,VA,8108.0,4544.0,3471.0
Bucks,PA,389093.0,184149.0,200854.0
Buena Vista,IA,8072.0,5004.0,2919.0
Buffalo,NE,23589.0,16640.0,6350.0
Buffalo,SD,549.0,183.0,352.0
Buffalo,WI,7816.0,4834.0,2860.0
Bullitt,KY,41964.0,30708.0,10551.0
Bulloch,GA,30084.0,18386.0,11243.0
Bullock,AL,4603.0,1143.0,3439.0
Buncombe,NC,160855.0,62253.0,96383.0
Bureau,IL,17182.0,10296.0,6545.0
Burke,GA,10684.0,5400.0,5209.0
Burke,NC,44182.0,30814.0,12985.0
Burke,ND,1144.0,984.0,136.0
Burleigh,ND,50753.0,34744.0,14348.0
Burleson,TX,8604.0,6740.0,1786.0
Burlington,NJ,242911.0,94755.0,144154.0
Burnet,TX,24646.0,18721.0,5615.0
Burnett,WI,10141.0,6462.0,3569.0
Burt,NE,3731.0,2580.0,1063.0
Butler,AL,9466.0,5448.0,3953.0
Butler,IA,8084.0,5542.0,2424.0
Butler,KS,31946.0,22250.0,9003.0
Butler,KY,6125.0,4960.0,1078.0
Butler,MO,18165.0,14599.0,3301.0
Butler,NE,4478.0,3526.0,869.0
Butler,OH,182034.0,111722.0,67729.0
Butler,PA,110960.0,73023.0,36534.0
Butte,CA,99780.0,47568.0,49402.0
Butte,ID,1415.0,1202.0,188.0
Butte,SD,4802.0,3731.0,939.0
Butts,GA,11789.0,8405.0,3272.0
Cabarrus,NC,116396.0,62974.0,51943.0
Cabell,WV,37360.0,21721.0,14994.0
Cache,UT,54646.0,36077.0,15859.0
Caddo,OK,9859.0,7013.0,2670.0
Caddo,LA,104912.0,48021.0,55110.0
Calaveras,CA,26717.0,16287.0,9845.0
Calcasieu,LA,82663.0,55066.0,25982.0
Caldwell,KY,6436.0,4905.0,1432.0
Caldwell,MO,4696.0,3725.0,897.0
Caldwell,NC,42438.0,31877.0,10105.0
Caldwell,TX,14775.0,7975.0,6536.0
Caldwell,LA,4762.0,3976.0,745.0
Calhoun,AL,50743.0,34964.0,15118.0
Calhoun,AR,2143.0,1609.0,467.0
Calhoun,FL,6537.0,5274.0,1209.0
Calhoun,GA,2194.0,923.0,1260.0
Calhoun,IA,5249.0,3689.0,1470.0
Calhoun,IL,2767.0,2043.0,674.0
Calhoun,MI,65568.0,35900.0,28417.0
Calhoun,MS,6536.0,4592.0,1878.0
Calhoun,SC,8291.0,4305.0,3905.0
Calhoun,TX,7853.0,5640.0,2146.0
Calhoun,WV,2971.0,2364.0,568.0
Callahan,TX,6826.0,6006.0,734.0
Callaway,MO,21178.0,14812.0,5868.0
Calloway,KY,17443.0,11351.0,5794.0
Calumet,WI,30774.0,18156.0,12116.0
Calvert,MD,48023.0,24957.0,22185.0
Camas,ID,754.0,507.0,149.0
Cambria,PA,70600.0,48092.0,21749.0
Camden,GA,23688.0,15251.0,7967.0
Camden,MO,24774.0,18825.0,5640.0
Camden,NC,5953.0,4312.0,1537.0
Camden,NJ,243151.0,78600.0,160606.0
Cameron,PA,2434.0,1771.0,634.0
Cameron,TX,113789.0,48834.0,63732.0
Cameron,LA,4039.0,3671.0,324.0
Camp,TX,5057.0,3626.0,1392.0
Campbell,KY,48833.0,28482.0,19373.0
Campbell,SD,873.0,747.0,117.0
Campbell,TN,14929.0,12330.0,2438.0
Campbell,VA,29813.0,21250.0,8073.0
Campbell,WY,19566.0,16975.0,1935.0
Canadian,OK,61940.0,43550.0,16742.0
Candler,GA,4432.0,3134.0,1269.0
Cannon,TN,6562.0,5190.0,1261.0
Canyon,ID,90438.0,61759.0,25881.0
Cape Girardeau,MO,40252.0,28873.0,10738.0
Cape May,NJ,56954.0,32770.0,23583.0
Carbon,MT,7045.0,4424.0,2412.0
Carbon,PA,33018.0,21607.0,10990.0
Carbon,UT,8822.0,6255.0,2306.0
Carbon,WY,6664.0,5014.0,1427.0
Caribou,ID,3416.0,2906.0,431.0
Carlisle,KY,2638.0,2159.0,463.0
Carlton,MN,20361.0,9787.0,10094.0
Caroline,MD,14940.0,9899.0,4704.0
Caroline,VA,16288.0,8336.0,7657.0
Carroll,AR,11639.0,7352.0,3941.0
Carroll,GA,54474.0,37476.0,16238.0
Carroll,IA,11306.0,7737.0,3454.0
Carroll,IL,8006.0,5098.0,2737.0
Carroll,IN,9514.0,7086.0,2224.0
Carroll,KY,4135.0,2954.0,1116.0
Carroll,MD,96848.0,58883.0,35316.0
Carroll,MO,4531.0,3706.0,785.0
Carroll,MS,4509.0,3257.0,1203.0
Carroll,NH,538.0,267.0,266.0
Carroll,OH,13957.0,10525.0,3206.0
Carroll,TN,11893.0,9194.0,2558.0
Carroll,VA,15619.0,12659.0,2842.0
Carson City,NV,29126.0,15771.0,12485.0
Carson,TX,3081.0,2747.0,289.0
Carter,KY,11585.0,8775.0,2642.0
Carter,MO,2906.0,2451.0,418.0
Carter,MT,864.0,775.0,74.0
Carter,OK,19479.0,14699.0,4470.0
Carter,TN,24868.0,19873.0,4613.0
Carteret,NC,42367.0,29886.0,11999.0
Carver,MN,66119.0,34012.0,30770.0
Cascade,MT,39688.0,23199.0,15384.0
