county,state,Men,Women
Abbeville,SC,12044.0,12744.0
Acadia,LA,30433.0,32174.0
Accomack,VA,16079.0,16761.0
Ada,ID,217999.0,217118.0
Adair,IA,3552.0,3640.0
Adair,KY,9632.0,9672.0
Adair,MO,12013.0,13424.0
Adair,OK,10987.0,11149.0
Adams,CO,245840.0,242010.0
Adams,IA,1870.0,1915.0
Adams,ID,2021.0,1925.0
Adams,IL,32698.0,34089.0
Adams,IN,17361.0,17657.0
Adams,MS,15680.0,15903.0
Adams,ND,1168.0,1200.0
Adams,NE,15981.0,15583.0
Adams,OH,13960.0,13966.0
Adams,PA,50055.0,51534.0
Adams,WA,9750.0,9511.0
Adams,WI,10770.0,9341.0
Addison,VT,18214.0,18611.0
Aiken,SC,80260.0,85447.0
Aitkin,MN,8079.0,7762.0
Alachua,FL,125712.0,134153.0
Alamance,NC,75078.0,82766.0
Alameda,CA,799649.0,829966.0
Alamosa,CO,8085.0,8260.0
Albany,NY,149287.0,159293.0
Albany,WY,19883.0,18061.0
Albemarle,VA,50283.0,54822.0
Alcona,MI,5247.0,5166.0
Alcorn,MS,18345.0,18897.0
Alexander,IL,3258.0,3518.0
Alexander,NC,18797.0,18362.0
Alfalfa,OK,3502.0,2375.0
Alger,MI,5088.0,4166.0
Allamakee,IA,7098.0,6842.0
Allegan,MI,56997.0,57148.0
Allegany,MD,37892.0,34699.0
Allegany,NY,24013.0,23387.0
Alleghany,NC,5445.0,5490.0
Alleghany,VA,7586.0,7903.0
Allegheny,PA,593177.0,636428.0
Allen,IN,179414.0,188333.0
Allen,KS,6318.0,6434.0
Allen,KY,10227.0,10401.0
Allen,OH,52614.0,51543.0
Allen,LA,14542.0,11125.0
Allendale,SC,4952.0,4450.0
Alpena,MI,14169.0,14561.0
Alpine,CA,664.0,539.0
Amador,CA,20005.0,17301.0
Amelia,VA,6644.0,6158.0
Amherst,VA,15331.0,16488.0
Amite,MS,6133.0,6441.0
Anderson,KS,3849.0,3991.0
Anderson,KY,10639.0,11378.0
Anderson,SC,93474.0,100700.0
Anderson,TN,36803.0,38735.0
Anderson,TX,35292.0,22455.0
Andrew,MO,8622.0,8736.0
Andrews,TX,8980.0,8597.0
Angelina,TX,42707.0,44993.0
Anne Arundel,MD,279581.0,285019.0
Anoka,MN,172482.0,172379.0
Anson,NC,13361.0,12170.0
Antelope,NE,3213.0,3193.0
Antrim,MI,11479.0,11654.0
Apache,AZ,35355.0,36247.0
Appanoose,IA,6206.0,6341.0
Appling,GA,9090.0,9381.0
Appomattox,VA,7507.0,7955.0
Aransas,TX,12448.0,12384.0
Arapahoe,CO,309190.0,317422.0
Archer,TX,4335.0,4458.0
Archuleta,CO,6400.0,6192.0
Arenac,MI,7714.0,7524.0
Arkansas,AR,8785.0,9567.0
Arlington,VA,114403.0,115131.0
Armstrong,PA,33176.0,33561.0
Armstrong,TX,974.0,955.0
Arthur,NE,204.0,217.0
Ascension,LA,58718.0,60411.0
Ashe,NC,13213.0,13620.0
Ashland,OH,26005.0,27294.0
Ashland,WI,7954.0,7825.0
Ashley,AR,10126.0,10645.0
Ashtabula,OH,49509.0,49113.0
