county,state,Poverty,Income,IncomePerCap,Unemployment
Abbeville,SC,22.7,35254.0,19234.0,9.4
Acadia,LA,21.5,40492.0,21591.0,8.9
Accomack,VA,19.8,42260.0,24266.0,5.4
Ada,ID,11.8,60151.0,31642.0,4.3
Adair,IA,9.5,49477.0,28861.0,3.0
Adair,KY,21.5,36575.0,18408.0,6.2
Adair,MO,26.2,38750.0,21778.0,5.5
Adair,OK,30.8,33366.0,16576.0,5.5
Adams,CO,12.2,64087.0,27487.0,5.1
Adams,IA,11.2,49745.0,27022.0,4.2
Adams,ID,13.8,42727.0,24315.0,8.7
Adams,IL,13.1,48454.0,27256.0,5.5
Adams,IN,18.9,48290.0,21534.0,5.2
Adams,MS,34.2,30359.0,17721.0,10.9
Adams,ND,9.2,54700.0,35933.0,1.6
Adams,NE,12.4,51721.0,28085.0,4.2
Adams,OH,23.8,36320.0,20248.0,7.5
Adams,PA,8.8,62661.0,29685.0,4.9
Adams,WA,23.1,48131.0,18415.0,5.9
Adams,WI,13.0,44003.0,24874.0,8.1
Addison,VT,7.8,61875.0,31051.0,4.4
Aiken,SC,16.7,47713.0,26222.0,9.0
Aitkin,MN,12.1,45860.0,26883.0,6.2
Alachua,FL,23.3,45478.0,26431.0,6.6
Alamance,NC,17.6,44281.0,25157.0,6.0
Alameda,CA,11.3,85743.0,41363.0,6.0
Alamosa,CO,27.8,36315.0,19217.0,9.9
Albany,NY,12.4,62293.0,35278.0,5.3
Albany,WY,23.0,45816.0,26034.0,4.8
Albemarle,VA,9.8,72265.0,39273.0,3.2
Alcona,MI,14.9,39424.0,24463.0,9.3
Alcorn,MS,19.6,38919.0,20527.0,8.6
Alexander,IL,33.4,31014.0,18564.0,8.2
Alexander,NC,14.7,44523.0,22655.0,6.7
Alfalfa,OK,11.2,57432.0,28007.0,4.5
Alger,MI,13.0,42647.0,21771.0,6.9
Allamakee,IA,11.4,47895.0,27377.0,3.3
Allegan,MI,10.8,58487.0,27172.0,3.6
Allegany,MD,16.8,42771.0,22355.0,9.0
Allegany,NY,16.5,45359.0,22377.0,7.3
Alleghany,NC,21.0,38944.0,21153.0,5.7
Alleghany,VA,19.3,46020.0,25952.0,4.4
Allegheny,PA,12.5,56333.0,35280.0,5.9
Allen,IN,14.7,51091.0,26932.0,6.3
Allen,KS,14.2,43031.0,23011.0,3.6
Allen,KY,20.0,40598.0,21652.0,7.5
Allen,OH,15.0,47905.0,24551.0,7.2
Allen,LA,16.6,42176.0,20103.0,9.4
Allendale,SC,30.4,23331.0,13439.0,17.3
Alpena,MI,15.0,40954.0,24030.0,6.4
Alpine,CA,19.8,63438.0,27448.0,14.6
Amador,CA,10.6,60636.0,29628.0,9.3
Amelia,VA,13.0,58535.0,26118.0,3.3
Amherst,VA,13.4,49677.0,24296.0,5.6
Amite,MS,22.8,30129.0,19665.0,10.8
Anderson,KS,13.6,40986.0,21887.0,4.2
Anderson,KY,12.0,51681.0,24991.0,6.3
Anderson,SC,15.6,45551.0,24485.0,6.7
Anderson,TN,16.3,47206.0,26972.0,6.9
Anderson,TX,15.7,42313.0,17466.0,4.3
Andrew,MO,9.0,56658.0,28003.0,4.2
Andrews,TX,11.9,70753.0,29903.0,4.5
Angelina,TX,19.1,46472.0,21974.0,7.6
Anne Arundel,MD,6.1,94502.0,43258.0,5.2
Anoka,MN,6.6,76796.0,34321.0,4.2
Anson,NC,22.7,38123.0,19105.0,13.4
Antelope,NE,11.5,46949.0,28091.0,1.9
Antrim,MI,12.6,50988.0,29307.0,6.1
Apache,AZ,35.9,32360.0,13865.0,14.1
Appanoose,IA,17.1,40377.0,25543.0,6.3
Appling,GA,24.7,37089.0,19936.0,7.7
Appomattox,VA,14.4,54875.0,26347.0,3.5
Aransas,TX,17.8,44601.0,29999.0,6.7
Arapahoe,CO,9.9,69553.0,36951.0,5.2
Archer,TX,8.8,63192.0,31103.0,3.0
Archuleta,CO,11.6,48016.0,29344.0,5.4
Arenac,MI,18.5,39947.0,22622.0,9.6
Arkansas,AR,20.7,38532.0,23766.0,8.5
Arlington,VA,8.2,112138.0,67061.0,3.2
Armstrong,PA,13.0,47527.0,25502.0,6.9
Armstrong,TX,7.5,68750.0,31219.0,1.8
Arthur,NE,10.9,41250.0,21799.0,0.6
Ascension,LA,11.7,74748.0,31520.0,6.3
Ashe,NC,19.4,40293.0,23650.0,6.3
Ashland,OH,14.2,50893.0,24612.0,4.2
Ashland,WI,14.6,41505.0,22983.0,7.2
Ashley,AR,21.3,36407.0,20703.0,9.9
Ashtabula,OH,19.8,43017.0,21936.0,7.4
Asotin,WA,13.5,47483.0,26878.0,6.7
Assumption,LA,15.7,48656.0,25765.0,6.9
Atascosa,TX,14.6,55194.0,23973.0,6.1
Atchison,KS,18.5,46640.0,25494.0,6.3
Atchison,MO,12.1,45259.0,28209.0,4.1
Athens,OH,30.2,37191.0,20062.0,8.7
Atkinson,GA,27.4,33063.0,19904.0,8.4
Atlantic,NJ,15.3,57514.0,29941.0,10.9
Atoka,OK,19.8,37106.0,19439.0,6.6
Attala,MS,22.6,33815.0,20617.0,10.3
Audrain,MO,16.7,44056.0,21226.0,7.4
Audubon,IA,11.1,48750.0,31523.0,2.7
Auglaize,OH,9.0,59516.0,28340.0,3.4
Augusta,VA,8.8,59544.0,30088.0,4.1
Aurora,SD,6.2,57257.0,30872.0,1.4
Austin,TX,13.4,62614.0,30101.0,5.4
Autauga,AL,13.7,55317.0,27824.0,5.2
Avery,NC,14.7,37109.0,21704.0,5.5
Avoyelles,LA,23.7,36763.0,20199.0,7.7
Baca,CO,19.5,35898.0,22853.0,4.5
Bacon,GA,23.2,38824.0,18856.0,3.1
Bailey,TX,22.3,43523.0,18662.0,2.2
Baker,FL,17.2,59506.0,22440.0,5.8
Baker,GA,19.5,43867.0,22270.0,2.5
Baker,OR,15.3,43765.0,25820.0,7.3
Baldwin,AL,11.8,52562.0,29364.0,5.5
Baldwin,GA,27.8,37008.0,20114.0,9.0
Ballard,KY,18.2,42988.0,25063.0,4.7
Baltimore,MD,9.1,71810.0,37270.0,5.5
Bamberg,SC,24.5,32330.0,19256.0,6.5
Bandera,TX,16.5,56413.0,29177.0,5.7
Banks,GA,14.3,42182.0,19451.0,6.6
Banner,NE,8.9,55000.0,30736.0,3.2
Bannock,ID,17.6,47390.0,23872.0,6.3
Baraga,MI,14.4,42757.0,18975.0,6.0
Barber,KS,15.9,52075.0,28840.0,2.5
Barbour,AL,27.2,33368.0,17561.0,12.4
Barbour,WV,22.5,37516.0,20762.0,8.9
Barnes,ND,10.0,56237.0,32517.0,3.1
Barnstable,MA,7.5,68048.0,40886.0,5.5
Barnwell,SC,27.0,34035.0,20018.0,10.1
Barren,KY,22.9,39658.0,20493.0,7.6
Barron,WI,11.5,49257.0,26935.0,3.6
Barrow,GA,13.2,56119.0,22978.0,6.8
Barry,MI,9.3,57312.0,27166.0,6.2
Barry,MO,20.5,40638.0,20840.0,8.0
Bartholomew,IN,12.4,57331.0,29955.0,5.0
Barton,KS,15.7,46070.0,26264.0,4.2
Barton,MO,20.9,41184.0,24628.0,5.4
Bartow,GA,14.2,52393.0,24931.0,6.0
Bastrop,TX,13.3,59185.0,25172.0,7.7
Bates,MO,14.3,45605.0,25873.0,5.2
Bath,KY,24.0,38763.0,20059.0,7.8
Bath,VA,9.3,44483.0,28195.0,9.1
Baxter,AR,12.6,40072.0,24737.0,5.8
Bay,FL,15.4,50283.0,26742.0,6.4
Bay,MI,16.3,45983.0,25462.0,7.4
Bayfield,WI,11.0,50110.0,28272.0,5.5
Baylor,TX,13.1,36157.0,30820.0,2.3
Beadle,SD,23.7,48995.0,24950.0,2.1
Bear Lake,ID,14.5,50603.0,24411.0,3.7
Beaufort,NC,19.1,41101.0,24657.0,9.0
Beaufort,SC,11.9,60603.0,34966.0,6.3
Beauregard,LA,17.3,47350.0,24551.0,7.4
Beaver,OK,11.7,52571.0,25935.0,3.9
Beaver,PA,10.8,53981.0,29162.0,5.6
Beaver,UT,10.5,47878.0,21128.0,4.7
Beaverhead,MT,16.1,43880.0,28420.0,4.6
Becker,MN,12.7,55884.0,28525.0,3.6
Beckham,OK,12.6,49625.0,23883.0,4.6
Bedford,PA,13.6,48703.0,24219.0,5.9
Bedford,TN,16.9,47117.0,22953.0,5.6
Bedford,VA,8.9,59405.0,30633.0,4.4
Bee,TX,19.7,45415.0,17504.0,6.3
Bell,KY,38.0,23558.0,14754.0,9.0
