county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Abbeville,SC,0.629,0.34600000000000003,10724.0,6742.0,3712.0,0.6609999999999999,0.33,12433.0,8215.0,4101.0,805.0,17.0,24788.0,12044.0,12744.0,1.3,68.9,27.6,0.1,0.3,0.0,35254.0,19234.0,22.7,9.4
Acadia,LA,0.773,0.20600000000000002,27386.0,21159.0,5638.0,0.795,0.191,28425.0,22596.0,5443.0,3182.0,102.0,62607.0,30433.0,32174.0,2.4,77.5,17.6,0.1,0.1,0.0,40492.0,21591.0,21.5,8.9
Accomack,VA,0.545,0.428,15755.0,8582.0,6737.0,0.542,0.447,16938.0,9172.0,7578.0,1227.0,19.0,32840.0,16079.0,16761.0,8.8,60.3,28.3,0.3,0.7,0.0,42260.0,24266.0,19.8,5.4
Ada,ID,0.479,0.387,195587.0,93748.0,75676.0,0.504,0.465,259389.0,130699.0,120539.0,17451.0,181.0,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,60151.0,31642.0,11.8,4.3
Adair,IA,0.653,0.3,3759.0,2456.0,1127.0,0.6970000000000001,0.28600000000000003,4183.0,2917.0,1197.0,222.0,1.0,7192.0,3552.0,3640.0,1.7,96.6,0.3,0.0,0.4,0.0,49477.0,28861.0,9.5,3.0
Adair,KY,0.8059999999999999,0.161,8231.0,6637.0,1323.0,0.83,0.159,8766.0,7275.0,1391.0,517.0,22.0,19304.0,9632.0,9672.0,1.8,93.4,3.6,0.1,0.1,0.0,36575.0,18408.0,21.5,6.2
Adair,MO,0.594,0.345,10137.0,6019.0,3495.0,0.618,0.358,10337.0,6391.0,3705.0,578.0,0.0,25437.0,12013.0,13424.0,2.3,90.5,2.4,0.2,2.3,0.1,38750.0,21778.0,26.2,5.5
Adair,OK,0.735,0.212,6468.0,4753.0,1374.0,0.7859999999999999,0.195,7108.0,5585.0,1387.0,855.0,11.0,22136.0,10987.0,11149.0,6.4,40.8,0.3,41.7,0.6,0.2,33366.0,16576.0,30.8,5.5
Adams,CO,0.42100000000000004,0.494,175125.0,73807.0,86471.0,0.40399999999999997,0.5670000000000001,234599.0,94874.0,132951.0,15538.0,263.0,487850.0,245840.0,242010.0,39.3,51.1,3.0,0.5,3.8,0.1,64087.0,27487.0,12.2,5.1
Adams,IA,0.669,0.271,2082.0,1393.0,565.0,0.708,0.273,2158.0,1528.0,590.0,87.0,1.0,3785.0,1870.0,1915.0,1.2,96.8,0.4,0.1,0.6,0.0,49745.0,27022.0,11.2,4.2
